v128.load memarg, 0x00  [i32]→[v128]
v128.load8x8_s memarg, 0x01  [i32]→[v128]
v128.load8x8_u memarg, 0x02  [i32]→[v128]
v128.load16x4_s memarg, 0x03  [i32]→[v128]
v128.load16x4_u memarg, 0x04  [i32]→[v128]
v128.load32x2_s memarg, 0x05  [i32]→[v128]
v128.load32x2_u memarg, 0x06  [i32]→[v128]
v128.load8_splat memarg, 0x07  [i32]→[v128]
v128.load16_splat memarg, 0x08  [i32]→[v128]
v128.load32_splat memarg, 0x09  [i32]→[v128]
v128.load64_splat memarg, 0x0A  [i32]→[v128]
v128.store memarg, 0x0B  [i32 v128]→[]
v128.const i128, 0x0C  []→[v128]
i8x16.shuffle laneidx^16 0xFD  0x0D  [v128 v128]→[v128]
i8x16.swizzle, 0x0E  [v128 v128]→[v128]
i8x16.splat, 0x0F  [i32]→[v128]
i16x8.splat, 0x10  [i32]→[v128]
i32x4.splat, 0x11  [i32]→[v128]
i64x2.splat, 0x12  [i64]→[v128]
f32x4.splat, 0x13  [f32]→[v128]
f64x2.splat, 0x14  [f64]→[v128]
i8x16.extract_lane_s laneidx, 0x15  [v128]→[i32]
i8x16.extract_lane_u laneidx, 0x16  [v128]→[i32]
i8x16.replace_lane laneidx, 0x17  [v128 i32]→[v128]
i16x8.extract_lane_s laneidx, 0x18  [v128]→[i32]
i16x8.extract_lane_u laneidx, 0x19  [v128]→[i32]
i16x8.replace_lane laneidx, 0x1A  [v128 i32]→[v128]
i32x4.extract_lane laneidx, 0x1B  [v128]→[i32]
i32x4.replace_lane laneidx, 0x1C  [v128 i32]→[v128]
i64x2.extract_lane laneidx, 0x1D  [v128]→[i64]
i64x2.replace_lane laneidx, 0x1E  [v128 i64]→[v128]
f32x4.extract_lane laneidx, 0x1F  [v128]→[f32]
f32x4.replace_lane laneidx, 0x20  [v128 f32]→[v128]
f64x2.extract_lane laneidx, 0x21  [v128]→[f64]
f64x2.replace_lane laneidx, 0x22  [v128 f64]→[v128]
i8x16.eq, 0x23  [v128 v128]→[v128]
i8x16.ne, 0x24  [v128 v128]→[v128]
i8x16.lt_s, 0x25  [v128 v128]→[v128]
i8x16.lt_u, 0x26  [v128 v128]→[v128]
i8x16.gt_s, 0x27  [v128 v128]→[v128]
i8x16.gt_u, 0x28  [v128 v128]→[v128]
i8x16.le_s, 0x29  [v128 v128]→[v128]
i8x16.le_u, 0x2A  [v128 v128]→[v128]
i8x16.ge_s, 0x2B  [v128 v128]→[v128]
i8x16.ge_u, 0x2C  [v128 v128]→[v128]
i16x8.eq, 0x2D  [v128 v128]→[v128]
i16x8.ne, 0x2E  [v128 v128]→[v128]
i16x8.lt_s, 0x2F  [v128 v128]→[v128]
i16x8.lt_u, 0x30  [v128 v128]→[v128]
i16x8.gt_s, 0x31  [v128 v128]→[v128]
i16x8.gt_u, 0x32  [v128 v128]→[v128]
i16x8.le_s, 0x33  [v128 v128]→[v128]
i16x8.le_u, 0x34  [v128 v128]→[v128]
i16x8.ge_s, 0x35  [v128 v128]→[v128]
i16x8.ge_u, 0x36  [v128 v128]→[v128]
i32x4.eq, 0x37  [v128 v128]→[v128]
i32x4.ne, 0x38  [v128 v128]→[v128]
i32x4.lt_s, 0x39  [v128 v128]→[v128]
i32x4.lt_u, 0x3A  [v128 v128]→[v128]
i32x4.gt_s, 0x3B  [v128 v128]→[v128]
i32x4.gt_u, 0x3C  [v128 v128]→[v128]
i32x4.le_s, 0x3D  [v128 v128]→[v128]
i32x4.le_u, 0x3E  [v128 v128]→[v128]
i32x4.ge_s, 0x3F  [v128 v128]→[v128]
i32x4.ge_u, 0x40  [v128 v128]→[v128]
f32x4.eq, 0x41  [v128 v128]→[v128]
f32x4.ne, 0x42  [v128 v128]→[v128]
f32x4.lt, 0x43  [v128 v128]→[v128]
